index,groundtruthkeyword,claim
idx537,below age people vote,everybody knows that dead people below age people illegal immigrants vote as fake signature were collected from prisoners
idx537,illegal immigrant vote,everybody knows that dead people  below age people illegal immigrant vote as fake signature were collected from prisoners
idx545,georgia throw ballot signature,in georgia they throw away the envelope with the signature that the ballot came in 
idx553,trump election night vote switch,trump vote on election night overwhelm the dominion smartmatic vote switch algorithm
idx581,suing stop count,minutes after suing to stop count in pennsylvania with 1.1 million ballot uncounted
idx617,extra ballot biden,extra ballot started flowing in for biden at 2am 3am and even days after
idx637,georgia recount signature check,the georgia recount they are only counting vote cast  not checking for validation not check signature
idx651,election night data trump vote switch,election night data showss million of vote either switch from president trump to biden or were lost
idx676,illegal vote receiv,tens of thousand of vote were illegal receiv after 8 p.m. on tuesday election day totally and easily changing the result  in pennsylvania
idx677,georgia change of address,there are 132k change of address flags in fulton county georgia alone
